Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Serpens VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_1st_priority VVV_keyholes_1st_priority_VVV1st_keyhole F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Oscar's Window" F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Oscar's Window" F213 70.4413822891848
wide_area wide_area_Serpens VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Oscar's Window" F213 0.0
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Oscar's Window" F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Oscar's Window" F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Dante's Window" F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Dante's Window" F213 70.4413822891848
wide_area wide_area_Serpens VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Dante's Window" F213 0.0
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Dante's Window" F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Dante's Window" F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent near 3" F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent near 3" F213 70.4413822891848
wide_area wide_area_Serpens VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent near 3" F213 0.0
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent near 3" F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent near 3" F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 70.4413822891848
wide_area wide_area_Serpens VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 0.0
wide_area wide_area_Galactic_Bulge1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 0.0
wide_area wide_area_Galactic_Bulge2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 0.0
wide_area wide_area_Galactic_Plane1 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 0.0
wide_area wide_area_Galactic_Plane2 VVV_keyholes_2nd_priority "VVV_keyholes_2nd_priority_Tangent Norma" F213 70.4413822891848
